Year,Quater,Period,NORTH,YORKS_AND_HSIDE,NORTH_WEST,EAST_MIDS,WEST_MIDS,EAST_ANGLIA,OUTER_S_EAST,OUTER_MET,LONDON,SOUTH_WEST,WALES,SCOTLAND,N_IRELAND,UK
1991,Q1,Q1 1991,33943,36835,38714,38249,43408,42424,51784,62218,77386,48653,38238,41336,20384,39744
1991,Q2,Q2 1991,35631,38863,39684,38723,45546,45169,52858,63880,83013,49769,38970,44208,20103,40821
1991,Q3,Q3 1991,35159,40491,39392,37857,42850,43327,51370,63641,79744,49949,37113,45073,19148,40414
1991,Q4,Q4 1991,35077,37192,38367,37056,41178,42293,49804,60866,77011,47388,38042,41988,19631,40024
1992,Q1,Q1 1992,33494,39098,38449,37156,42240,41734,47570,58728,74715,46528,36389,43159,20142,39597
1992,Q2,Q2 1992,34015,39469,39861,36621,41089,43478,47170,58505,75050,45501,40898,45819,21704,40480
1992,Q3,Q3 1992,34131,39165,38232,36441,40757,42303,45871,56653,72182,44741,38132,44321,22051,39758
1992,Q4,Q4 1992,33585,36135,36526,34077,38460,41169,43797,54537,67412,43090,36565,40341,21083,38465
1993,Q1,Q1 1993,35899,35850,38044,33789,39922,37422,42908,54160,65537,45050,35622,44525,22208,38080
1993,Q2,Q2 1993,37458,38289,33824,36083,41108,38138,44409,56016,69310,44615,38740,46472,24322,40080
1993,Q3,Q3 1993,33377,39625,38122,35382,40753,38386,46210,56283,68193,43813,37791,46781,25801,40210
1993,Q4,Q4 1993,38369,38177,37394,34641,38671,39514,46181,56356,68091,45666,38159,43981,22664,39762
1994,Q1,Q1 1994,33900,37488,38146,34984,38698,41303,45600,55548,68744,44484,36570,44295,24870,39810
1994,Q2,Q2 1994,34325,37811,37007,34779,38487,39970,45734,56111,69526,45167,34862,46638,25445,39503
1994,Q3,Q3 1994,35349,37160,36258,33388,37355,41342,46669,55458,69131,44725,35096,46910,27254,40274
1994,Q4,Q4 1994,31106,35271,36290,35213,39301,40090,44620,59238,68754,44446,36243,44225,25319,39965
1995,Q1,Q1 1995,34515,35182,36710,35031,38870,41794,45600,53878,68259,43901,34723,45305,24480,39101
1995,Q2,Q2 1995,33891,35212,34465,34357,39115,42665,47822,55100,78239,47547,38383,45129,25673,40097
1995,Q3,Q3 1995,33533,36683,33114,34933,40217,42265,50490,54559,75402,48134,35345,46580,24847,39394
1995,Q4,Q4 1995,31952,34666,35687,34581,39083,38772,47016,54237,75112,45586,35682,40371,26577,39076
1996,Q1,Q1 1996,32289,33870,35486,33881,40938,40114,48559,55933,75084,48059,37754,43552,26479,39611
1996,Q2,Q2 1996,35956,35545,36237,35318,40555,41088,51850,57533,80594,47303,36215,45088,29109,40938
1996,Q3,Q3 1996,34074,37403,36958,35908,42533,41053,53619,59639,88212,48292,38334,46433,30425,41925
1996,Q4,Q4 1996,36162,37251,37766,38551,42351,42718,54032,60239,84152,49455,37909,46725,31098,42851
1997,Q1,Q1 1997,36078,36894,38204,37383,42861,45052,54738,63052,91291,49466,36155,45454,28934,43263
1997,Q2,Q2 1997,36301,39915,38178,37306,45397,46195,59065,66789,100971,51577,38593,48970,35791,45330
1997,Q3,Q3 1997,37842,40484,39802,41607,46238,48137,58517,70611,95102,52297,40607,47679,34297,47545
1997,Q4,Q4 1997,36497,40804,38932,40809,45773,47425,58352,73354,95805,52287,40109,48508,37839,48519
1998,Q1,Q1 1998,36350,40578,39709,41020,46863,45692,60720,76569,99560,54873,39697,49036,38544,49307
1998,Q2,Q2 1998,37845,41269,40248,42844,47119,50256,63196,78387,103475,55314,40508,50153,40343,51228
1998,Q3,Q3 1998,36239,41854,40233,43711,47633,49040,63870,79880,105945,56781,42321,52185,41596,52049
1998,Q4,Q4 1998,36508,40978,39921,42537,46989,52331,65345,80165,107787,58700,39956,49373,41367,52076
1999,Q1,Q1 1999,37073,41740,42853,43923,48739,51661,66307,81722,111179,58918,42825,51154,41479,53299
1999,Q2,Q2 1999,38950,42906,43045,45355,50710,51621,68221,84917,114929,61361,44074,50835,43778,55205
1999,Q3,Q3 1999,40303,44038,44037,47313,51649,56295,72083,88351,122514,63765,44075,52271,47994,57459
1999,Q4,Q4 1999,40452,44855,44212,47247,52065,57813,74423,92895,130363,67285,45945,53762,44704,59230
2000,Q1,Q1 2000,38419,42642,44555,48569,53530,59602,78614,100782,140344,69662,49602,52609,46807,61357
2000,Q2,Q2 2000,42805,47444,45723,48727,55116,61431,83056,104268,149253,73848,48661,55050,56797,64571
2000,Q3,Q3 2000,41218,45717,45173,49319,56246,62956,84497,103360,145264,75054,48628,55008,50636,64003
2000,Q4,Q4 2000,41920,47612,46629,52524,56184,61389,83368,104906,148440,73852,47370,55746,52304,64694
2001,Q1,Q1 2001,42796,48679,46562,52811,58442,67395,87247,105903,150546,77736,50163,53818,51431,66321
2001,Q2,Q2 2001,39462,49677,48420,55379,62741,73802,90361,117172,159350,79351,49617,54550,55120,68965
2001,Q3,Q3 2001,45894,50279,49789,56693,63304,73986,96191,117996,167590,84691,53448,56687,54530,71926
2001,Q4,Q4 2001,46130,51459,50631,59148,63856,75244,97186,119896,171123,85094,52541,58554,51288,73028
2002,Q1,Q1 2002,48475,54991,51806,62614,68084,78221,101803,123184,171514,91038,55240,59364,54055,76411
2002,Q2,Q2 2002,52200,56980,57715,68700,69299,86500,109035,134589,182147,98811,58321,61755,62127,82433
2002,Q3,Q3 2002,54350,60177,61943,73239,79348,90860,118250,142088,200729,107315,62410,65155,59830,88614
2002,Q4,Q4 2002,59245,67771,63288,76795,85687,98838,130952,154613,210723,114163,65703,66501,60026,94800
2003,Q1,Q1 2003,65193,68470,67263,81430,91956,101609,135818,158318,214816,118900,69295,64825,64538,98871
2003,Q2,Q2 2003,64633,75447,72632,87620,90003,106889,137915,161352,215577,121328,76784,71384,66735,102481
2003,Q3,Q3 2003,73681,78477,77236,91544,97946,109296,139502,166576,218659,123749,82682,76707,68288,106584
2003,Q4,Q4 2003,73388,81254,79956,96527,101671,105805,144045,166287,228144,129260,85502,79642,68115,109559
2004,Q1,Q1 2004,90106,87949,87904,100859,108290,111848,148873,170627,230401,134761,95723,80513,70923,116098
2004,Q2,Q2 2004,92784,98519,96898,109551,113399,118541,156300,176741,240462,142338,104167,92162,77541,123827
2004,Q3,Q3 2004,98254,102140,101348,111111,123194,122089,159102,181600,242027,151502,109583,97360,77660,127919
2004,Q4,Q4 2004,93379,99793,102697,111184,118701,121991,160487,177627,237992,148084,115262,92405,80318,127341
2005,Q1,Q1 2005,99668,99957,102370,110964,117917,121521,159697,180069,242712,148455,112899,101976,82293,128216
2005,Q2,Q2 2005,105201,105924,108466,113202,120444,126307,163651,183777,243816,152559,112037,104107,93564,132953
2005,Q3,Q3 2005,104203,103440,106417,112640,125026,126570,162505,183729,243976,151258,115551,100545,89082,131349
2005,Q4,Q4 2005,94594,107553,107737,111508,121440,128078,161674,181499,246331,151684,112232,104857,95388,131322
2006,Q1,Q1 2006,104443,112248,110080,114060,125617,128798,164427,186596,248902,156314,120680,105772,92657,134901
2006,Q2,Q2 2006,108485,114827,111178,116740,127112,132230,168075,187590,257897,155460,120628,114403,114639,138279
2006,Q3,Q3 2006,104846,114255,113591,117770,127553,137045,168949,190935,262737,159868,126502,118762,125083,140363
2006,Q4,Q4 2006,107076,116306,115761,121599,128199,137116,174335,197632,274898,163248,123795,122451,143181,144017
2007,Q1,Q1 2007,109197,118404,116201,122013,129444,141828,176792,201364,281048,166604,127369,123497,162712,146406
2007,Q2,Q2 2007,117131,121541,120478,125159,133833,144476,185211,210294,294520,172001,131653,130653,174498,152511
2007,Q3,Q3 2007,115122,122497,120353,125071,131914,144215,187394,214587,308530,174750,129415,130671,166189,153832
2007,Q4,Q4 2007,114783,120314,120477,124088,131280,146769,186002,211552,307054,171475,134701,130824,177090,153460
2008,Q1,Q1 2008,112206,119353,117678,122694,130294,145039,183418,210549,294543,164985,125695,129739,140060,149668
2008,Q2,Q2 2008,109710,111780,111969,114957,124724,135231,178922,202574,289470,164149,118488,130634,128596,144286
2008,Q3,Q3 2008,104443,109610,108667,110677,119834,128299,166089,191064,272078,151188,115107,124312,118693,136761
2008,Q4,Q4 2008,99646,102841,103624,103474,108487,120552,156026,178608,258307,145845,106546,111593,107706,128934
2009,Q1,Q1 2009,95644,95417,94805,94871,102760,109674,149013,174476,244296,139924,97332,114219,N/A,122880
2009,Q2,Q2 2009,92419,101471,94504,103295,108039,120318,156451,177854,249177,141016,115932,115291,99951,126204
2009,Q3,Q3 2009,95365,98687,98555,102807,114876,124715,163065,185247,265998,148270,112440,125504,N/A,130279
2009,Q4,Q4 2009,98513,104152,103233,105351,113816,123539,165035,190978,274803,152458,110687,119172,98233,133212
2010,Q1,Q1 2010,98695,103274,100460,109040,113902,124633,168357,191503,277532,153975,120101,113858,96825,134010
2010,Q2,Q2 2010,101403,106554,104830,112257,119957,128587,173299,201315,288746,163743,118045,120932,99084,138015
2010,Q3,Q3 2010,99541,103846,103957,108743,118328,132641,175501,203333,292799,158653,123272,120513,83945,137112
2010,Q4,Q4 2010,97543,99381,101083,107994,111343,125317,166254,197257,282062,154480,111733,123065,99636,132787
2011,Q1,Q1 2011,97783,99516,103215,107938,115730,123480,163252,200489,281793,155457,106777,114262,N/A,133530
2011,Q2,Q2 2011,99561,102275,101476,108820,115671,130519,173234,204568,299465,157790,117011,123146,77258,137842
2011,Q3,Q3 2011,96232,98570,99855,107304,115753,132159,170716,207642,300159,156916,114539,114952,77248,136483
2011,Q4,Q4 2011,95182,98090,99886,106501,111296,131889,169894,204599,294982,155043,113271,115847,72948,134487
2012,Q1,Q1 2012,98754,97893,101407,107635,113740,131798,167861,200291,285483,153997,113198,119247,N/A,133948
2012,Q2,Q2 2012,96775,101396,101076,107638,119361,128950,170306,204830,295850,157599,109541,115420,67051,135801
2012,Q3,Q3 2012,99286,101350,99887,106870,117908,128636,172894,204599,298577,155314,109129,114386,65604,135105
2012,Q4,Q4 2012,94761,97529,96303,108767,117961,127471,169579,207779,299978,154951,110724,112368,66444,134357
2013,Q1,Q1 2013,96964,97642,98271,108926,117600,126825,169636,207639,303896,152811,112297,113149,69035,135175
2013,Q2,Q2 2013,99666,99756,101076,109832,120905,133196,171962,212927,315230,157122,112478,117512,69283,138460
2013,Q3,Q3 2013,100269,102611,101380,112333,123344,136460,176151,218342,329813,158993,119648,117166,66916,141628
2013,Q4,Q4 2013,100023,106421,102075,113378,128234,135518,182402,224787,339306,164116,120033,118127,65708,144812
2014,Q1,Q1 2014,99590,106302,103804,118544,126816,141779,186970,228309,359690,167247,121529,120228,73111,148571
2014,Q2,Q2 2014,105305,109718,108408,118565,130024,146392,202202,248748,398450,173773,126082,124794,69854,156152
2014,Q3,Q3 2014,101708,114107,109711,121845,134373,154644,204525,246997,399862,175671,127406,124858,73651,158799
2014,Q4,Q4 2014,103797,110157,109878,120169,133246,149718,204228,254035,401314,177032,120391,125475,76957,158683
2015,Q1,Q1 2015,105675,108301,107675,121774,134653,152612,203585,259717,409734,177391,117253,122846,78715,158489
2015,Q2,Q2 2015,102918,111318,108706,124252,137316,152752,214698,263728,429039,182509,123308,126647,82123,163269
